27.7	2881.2	193	1236.7	29994	102	3.3	8.2	11.3	1.9
34	2178.7	57	5373.9	68499	107	2	9.6	13.2	4.8
31.3	1248.8	6.1	2999.2	43512	106	20.8	38.2	30.1	21.6
26.2	2821.9	62.6	1984.1	51639	102	13.4	27.5	19.3	26.1
627	9087.8	17.3	29501.1	175365	100.8	8.7	9.7	6.8	-3
119.3	1592.9	70.1	4899.6	74326	110	12	12.6	30.3	9
32.3	538.2	24.4	1381.3	18660	113	5.5	11.2	6.5	3
36	553	74.3	1026.4	18727	113	12	8.3	0.2	1.5
54.6	2922	179.3	3053.5	29955	115	9.6	14.8	4.8	-1.2
1446.6	32379.1	74.6	100202.4	330306	109	14.1	14.9	1.1	-2.5
231.8	15714.7	153.1	21200.2	174789	114	7.8	11.3	2.8	3.5
22.8	431.7	13.1	1523.7	16327	118	9.9	8.7	5.8	-1.1
63.1	1414.5	185.8	2893.7	30406	104	15.6	16.1	1.3	-1.6
27.6	1251.3	45.1	767.1	32639	111	41.4	22	2.6	0.5
54.7	997.3	159.6	2091	38174	104	12.9	16.4	13	-1.8
54.6	2078.3	163.3	2115.6	59320	110	7.6	9.1	20.4	-1.3
54.7	1881.3	109.7	3140.9	60425	111	5.3	8.2	8.1	-0.4
17.6	816.6	7	592.4	10631	102	21.3	27.1	12.1	1.5
17.1	170.9	73.9	844.4	18499	111	13.7	21.9	30.8	0.9
37.8	1018.8	13.5	2299.6	26127	105	13.7	19.9	8.6	-1.3
39.7	1176.7	158	2208.5	35047	89	12.2	18.6	2.5	8.9
169.8	3650.7	126.2	15732.2	125957	100.2	3.8	8.2	33.3	-22.3
34.6	1311	130	2004.8	50941	110	1.4	3.9	24	1.3
106.9	1585.9	110.9	2876	41624	102	16.2	17.1	1.5	4.9
24.4	833.7	72.1	1694.1	30779	93	18.5	14.9	11.6	0.6
31.4	984.9	35.1	1438.1	67501	103	3.5	6.3	67	13.5
26.3	368.1	73.2	948.3	15127	106	17.9	20.6	7.4	1.6
84.7	4573.5	48.7	7700.8	215251	107	12.7	26.6	24.7	16.4
36.6	1066	51.1	2603	21151	105	4.2	14.4	2.5	32
84	1361.2	170	4102.9	70629	106	3.8	10.7	9.2	3.5
67.8	867.8	26.3	1628.9	22226	100.4	17.4	26.4	3.4	0.1
164.9	6861.6	189.1	15173.8	213881	110	1.4	6	46.8	0.4
79.9	1907.8	43.9	4064.6	55840	108	14.8	22.6	2.2	0.9
31.8	731.5	13.1	1477	32579	97	8.5	16	28.3	-1.2
10	450.1	13.2	497.5	8564	118	13.1	19.2	13.4	-1.1
10.8	1094.2	0.1	692.3	7265	112	23.1	38.2	7.2	-1.5
164.9	5002.9	369	12145.8	71134	100.2	8	13.5	1.3	6.5
63.8	2007.5	117.2	3331.1	37634	123	6.3	8.3	12.5	1.2
163.2	6336	434.9	10651.1	79999	129	5.9	11.8	19.2	1.8
94.7	1982.3	50.1	8021.4	157059	106	13.9	23.2	23.5	5.7
69.7	1717.8	94.4	2588.1	59314	99	20	25.5	15.1	8.3
22.2	248.6	375.5	413.9	16320	90	11.6	12.2	5.9	3.8
115.7	2384.1	574.7	3640.4	66707	102	3.9	11.4	20.4	12.5
63.2	5352.9	177.4	6488.6	143321	106	7.9	15.6	14.3	0.7
145.8	4667.5	71.7	10072.8	209753	111	15.6	21.9	42.3	2.5
147.3	4526	22.3	7664.8	170723	102	6.6	15	50.1	8.8
84.5	2238.3	171.8	2309.6	39009	111	11.7	14.7	0.5	-1.5
102.7	2814	28	5916.1	124888	104	2.4	4.6	32.2	2.8
118.3	5093	198.4	8207.1	48953	108	21.1	27.5	3.1	4.6
103.3	1494.7	47.2	3708.7	37376	112	12.3	27.8	15.9	3.9
37.9	939.6	12.7	4685.9	33716	109	23.9	32.3	5.5	5.7
119.8	3765.2	183.9	25295.9	559081	107	1.2	7.8	0	14.5
23.9	735.6	109.3	1235.2	14621	103	4	7.5	0.9	5.2
103.7	1521	21.9	4467.1	187094	109	5.9	17.7	0.5	14.9
83.4	5074.5	52.3	7617.8	105129	104	5.5	12.6	1.5	8.3
2.3	103.1	22.3	108.4	1269	105	11.7	12.6	0.8	0.5
95.9	3665.9	80.9	5301.7	44889	85	24.6	18.7	3.8	4
