2881.2
2178.7
1248.8
2821.9
9087.8
1592.9
538.2
553
2922
32379.1
15714.7
431.7
1414.5
1251.3
997.3
2078.3
1881.3
816.6
170.9
1018.8
1176.7
3650.7
1311
1585.9
833.7
984.9
368.1
4573.5
1066
1361.2
867.8
6861.6
1907.8
731.5
450.1
1094.2
5002.9
2007.5
6336
1982.3
1717.8
248.6
2384.1
5352.9
4667.5
4526
2238.3
2814
5093
1494.7
939.6
3765.2
735.6
1521
5074.5
103.1
3665.9

27.7	1236.7	29994	1
34	5373.9	68499	1
31.3	2999.2	43512	1
26.2	1984.1	51639	1
627	29501.1	175365	1
119.3	4899.6	74326	1
32.3	1381.3	18660	1
36	1026.4	18727	1
54.6	3053.5	29955	1
1446.6	100202.4	330306	1
231.8	21200.2	174789	1
22.8	1523.7	16327	1
63.1	2893.7	30406	1
27.6	767.1	32639	1
54.7	2091	38174	1
54.6	2115.6	59320	1
54.7	3140.9	60425	1
17.6	592.4	10631	1
17.1	844.4	18499	1
37.8	2299.6	26127	1
39.7	2208.5	35047	1
169.8	15732.2	125957	1
34.6	2004.8	50941	1
106.9	2876	41624	1
24.4	1694.1	30779	1
31.4	1438.1	67501	1
26.3	948.3	15127	1
84.7	7700.8	215251	1
36.6	2603	21151	1
84	4102.9	70629	1
67.8	1628.9	22226	1
164.9	15173.8	213881	1
79.9	4064.6	55840	1
31.8	1477	32579	1
10	497.5	8564	1
10.8	692.3	7265	1
164.9	12145.8	71134	1
63.8	3331.1	37634	1
163.2	10651.1	79999	1
94.7	8021.4	157059	1
69.7	2588.1	59314	1
22.2	413.9	16320	1
115.7	3640.4	66707	1
63.2	6488.6	143321	1
145.8	10072.8	209753	1
147.3	7664.8	170723	1
84.5	2309.6	39009	1
102.7	5916.1	124888	1
118.3	8207.1	48953	1
103.3	3708.7	37376	1
37.9	4685.9	33716	1
119.8	25295.9	559081	1
23.9	1235.2	14621	1
103.7	4467.1	187094	1
83.4	7617.8	105129	1
2.3	108.4	1269	1
95.9	5301.7	44889	1
